geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.5456,-46.6393,Sao Paulo,SP
1046,-23.5461,-46.6448,Sao Paulo,SP
1041,-23.5444,-46.6395,Sao Paulo,SP
1035,-23.5416,-46.6416,Sao Paulo,SP
1012,-23.5478,-46.6354,São Paulo,SP
1047,-23.5463,-46.6412,Sao Paulo,SP
1013,-23.5469,-46.6343,Sao Paulo,SP
1029,-23.5438,-46.6343,Sao Paulo,SP
1011,-23.5476,-46.636,Sao Paulo,SP
1032,-23.5384,-46.6348,Sao Paulo,SP
1014,-23.5464,-46.6338,Sao Paulo,SP
1039,-23.5419,-46.6399,Sao Paulo,SP
1024,-23.5414,-46.6299,São Paulo,SP
1009,-23.5469,-46.6366,Sao Paulo,SP
1020,-23.5522,-46.6284,São Paulo,SP
1043,-23.5467,-46.6408,São Paulo,SP
1050,-23.5498,-46.6456,Sao Paulo,SP
1045,-23.5416,-46.6419,Sao Paulo,SP
1007,-23.5504,-46.6373,Sao Paulo,SP
1005,-23.5498,-46.6356,Sao Paulo,SP
1017,-23.55,-46.6312,São Paulo,SP
1019,-23.5522,-46.6308,Sao Paulo,SP
1027,-23.5383,-46.6308,Sao Paulo,SP
1033,-23.5403,-46.6364,Sao Paulo,SP
1006,-23.5505,-46.6367,Sao Paulo,SP
1034,-23.5424,-46.6377,Sao Paulo,SP
1042,-23.5449,-46.6403,Sao Paulo,SP
1040,-23.5403,-46.6374,Sao Paulo,SP
1026,-23.5395,-46.6328,São Paulo,SP
1036,-23.5417,-46.6413,Sao Paulo,SP
1048,-23.5474,-46.6402,São Paulo,SP
1002,-23.5483,-46.6354,Sao Paulo,SP
1031,-23.5369,-46.6335,Sao Paulo,SP
1022,-23.545,-46.6335,Sao Paulo,SP
1008,-23.5443,-46.6346,Sao Paulo,SP
1010,-23.5478,-46.6361,Sao Paulo,SP
1003,-23.549,-46.6353,Sao Paulo,SP
1001,-23.5493,-46.6336,Sao Paulo,SP
1015,-23.5448,-46.6309,Sao Paulo,SP
1038,-23.5427,-46.6382,Sao Paulo,SP
1016,-23.5485,-46.6335,Sao Paulo,SP
1049,-23.5453,-46.637,Sao Paulo,SP
1021,-23.5452,-46.6322,Sao Paulo,SP
1018,-23.5502,-46.6319,Sao Paulo,SP
1044,-23.5458,-46.6413,Sao Paulo,SP
1030,-23.5384,-46.6329,São Paulo,SP
1025,-23.5399,-46.6283,Sao Paulo,SP
1004,-23.5501,-46.6351,Sao Paulo,SP
1023,-23.5426,-46.6309,Sao Paulo,SP
1028,-23.536,-46.6329,Sao Paulo,SP
1155,-23.5288,-46.6644,Sao Paulo,SP
1122,-23.5313,-46.6373,São Paulo,SP
1150,-23.5323,-46.6628,Sao Paulo,SP
1123,-23.5293,-46.6349,Sao Paulo,SP
1139,-23.5208,-46.6614,Sao Paulo,SP
1153,-23.5281,-46.6565,São Paulo,SP
1104,-23.5352,-46.6246,Sao Paulo,SP
1136,-23.5235,-46.6669,São Paulo,SP
1130,-23.5266,-46.6438,Sao Paulo,SP
1103,-23.5354,-46.6317,São Paulo,SP
1156,-23.5298,-46.6647,São Paulo,SP
1151,-23.5278,-46.6603,Sao Paulo,SP
1140,-23.5179,-46.6674,Sao Paulo,SP
1120,-23.5308,-46.6392,Sao Paulo,SP
1106,-23.5325,-46.6264,Sao Paulo,SP
1124,-23.5274,-46.6319,Sao Paulo,SP
1131,-23.5216,-46.6475,Sao Paulo,SP
1121,-23.5246,-46.6344,Sao Paulo,SP
1141,-23.5201,-46.6658,São Paulo,SP
1125,-23.5291,-46.6389,Sao Paulo,SP
1102,-23.5226,-46.6294,São Paulo,SP
1127,-23.5277,-46.6448,Sao Paulo,SP
1137,-23.5196,-46.6543,São Paulo,SP
1135,-23.5212,-46.653,Sao Paulo,SP
1138,-23.5188,-46.6556,Sao Paulo,SP
1128,-23.523,-46.6417,Sao Paulo,SP
1109,-23.5254,-46.6275,Sao Paulo,SP
